CAV Reciever,CAV Sender,Image Frame Index,Trust Score
cav1,cav2,0,0.24019979961644347
cav1,cav2,1,0.26912030532055714
cav1,cav2,2,0.6
cav1,cav2,3,0.6
cav1,cav2,4,0.6
cav1,cav2,5,0.6
cav1,cav2,6,0.6
cav1,cav2,7,0.6
cav1,cav2,8,0.6
cav1,cav2,9,0.6
cav1,cav2,10,0.6
cav1,cav2,11,0.6
cav1,cav2,12,0.6
cav1,cav2,13,0.6
cav1,cav2,14,0.6
cav1,cav2,15,0.7635929272138305
cav1,cav2,16,0.6
cav1,cav3,0,0.17787890166139286
cav1,cav3,1,0.7607818566759053
cav1,cav3,2,0.6
cav1,cav3,3,0.6
cav1,cav3,4,0.6
cav1,cav3,5,0.6
cav1,cav3,6,0.6
cav1,cav3,7,0.6
cav1,cav3,8,0.6
cav1,cav3,9,0.6
cav1,cav3,10,0.6
cav1,cav3,11,0.6
cav1,cav3,12,0.6
cav1,cav3,13,0.6
cav1,cav3,14,0.6
cav1,cav3,15,0.6
cav1,cav3,16,0.6674114935597777
cav1,cav4,0,0.40727678018514035
cav1,cav4,1,0.8477411124258344
cav1,cav4,2,0.6
cav1,cav4,3,0.6
cav1,cav4,4,0.6
cav1,cav4,5,0.6
cav1,cav4,6,0.6
cav1,cav4,7,0.6
cav1,cav4,8,0.6203528290804287
cav1,cav4,9,0.6
cav1,cav4,10,0.6
cav1,cav4,11,0.6
cav1,cav4,12,0.6550165751065649
cav1,cav4,13,0.6
cav1,cav4,14,0.6
cav1,cav4,15,0.6
cav1,cav4,16,0.6
cav2,cav1,0,0.3277571889893007
cav2,cav1,1,0.6
cav2,cav1,2,0.6
cav2,cav1,3,0.6
cav2,cav1,4,0.6
cav2,cav1,5,0.6
cav2,cav1,6,0.6
cav2,cav1,7,0.7976123722988386
cav2,cav1,8,0.6
cav2,cav1,9,0.6
cav2,cav1,10,0.6869563232956678
cav2,cav1,11,0.6223759471687134
cav2,cav1,12,0.6
cav2,cav1,13,0.6
cav2,cav1,14,0.6
cav2,cav1,15,0.6
cav2,cav1,16,0.6
cav2,cav3,0,0.34706760558206473
cav2,cav3,1,0.6
cav2,cav3,2,0.6
cav2,cav3,3,0.6
cav2,cav3,4,0.6
cav2,cav3,5,0.7640470241136392
cav2,cav3,6,0.6
cav2,cav3,7,0.6
cav2,cav3,8,0.8197823578627782
cav2,cav3,9,0.6
cav2,cav3,10,0.7239570111578606
cav2,cav3,11,0.6
cav2,cav3,12,0.6992406821661135
cav2,cav3,13,0.6
cav2,cav3,14,0.6
cav2,cav3,15,0.6
cav2,cav3,16,0.6
cav2,cav4,0,0.07433129035688031
cav2,cav4,1,0.6
cav2,cav4,2,0.6
cav2,cav4,3,0.6
cav2,cav4,4,0.6
cav2,cav4,5,0.6
cav2,cav4,6,0.6162056095495256
cav2,cav4,7,0.6
cav2,cav4,8,0.6
cav2,cav4,9,0.6
cav2,cav4,10,0.6138645127372087
cav2,cav4,11,0.6
cav2,cav4,12,0.6
cav2,cav4,13,0.6
cav2,cav4,14,0.6
cav2,cav4,15,0.6
cav2,cav4,16,0.6
cav3,cav1,0,0.34182358536980556
cav3,cav1,1,0.6
cav3,cav1,2,0.6210273661575602
cav3,cav1,3,0.6
cav3,cav1,4,0.6
cav3,cav1,5,0.6
cav3,cav1,6,0.6
cav3,cav1,7,0.6
cav3,cav1,8,0.6
cav3,cav1,9,0.6
cav3,cav1,10,0.6
cav3,cav1,11,0.6
cav3,cav1,12,0.6
cav3,cav1,13,0.6
cav3,cav1,14,0.6
cav3,cav1,15,0.6
cav3,cav1,16,0.6
