CAV Reciever,CAV Sender,Image Frame Index,Trust Score
cav1,cav2,0,0.446856008
cav1,cav2,1,0.228139294
cav1,cav2,2,0.317766591
cav1,cav2,3,0.433964814
cav1,cav2,4,0.152284189
cav1,cav2,5,0.494085988
cav1,cav2,6,0.570127849
cav1,cav2,7,0.383734105
cav1,cav2,8,0.386448058
cav1,cav3,0,0.311007168
cav1,cav3,1,0.51202494
cav1,cav3,2,0.307990059
cav1,cav3,3,0.454105304
cav1,cav3,4,0.386451396
cav1,cav3,5,0.412240646
cav1,cav3,6,0.442970242
cav1,cav3,7,0.261738455
cav1,cav3,8,0.252082751
cav1,cav4,0,0.471205184
cav1,cav4,1,0.382334405
cav1,cav4,2,0.141271098
cav1,cav4,3,0.462166456
cav1,cav4,4,0.536350623
cav1,cav4,5,0.520259053
cav1,cav4,6,0.243913009
cav1,cav4,7,0.428465559
cav1,cav4,8,0.375284992
cav2,cav1,0,0.504388296
cav2,cav1,1,0.6
cav2,cav1,2,0.6
cav2,cav1,3,0.6
cav2,cav1,4,0.6
cav2,cav1,5,0.789164229
cav2,cav1,6,0.6
cav2,cav1,7,0.639607657
cav2,cav1,8,0.6
cav2,cav3,0,0.298473451
cav2,cav3,1,0.6
cav2,cav3,2,0.6
cav2,cav3,3,0.6
cav2,cav3,4,0.6
cav2,cav3,5,0.600155288
cav2,cav3,6,0.6
cav2,cav3,7,0.602064481
cav2,cav3,8,0.6
cav2,cav4,0,0.6
cav2,cav4,1,0.6
cav2,cav4,2,0.6
cav2,cav4,3,0.6
cav2,cav4,4,0.6
cav2,cav4,5,0.6
cav2,cav4,6,0.6
cav2,cav4,7,0.6
cav2,cav4,8,0.77473493
cav3,cav1,0,0.516445822
cav3,cav1,1,0.6
cav3,cav1,2,0.6
cav3,cav1,3,0.875680824
cav3,cav1,4,0.6
cav3,cav1,5,0.6
cav3,cav1,6,0.6
cav3,cav1,7,0.659618361
cav3,cav1,8,0.6
cav3,cav2,0,0.587737168
cav3,cav2,1,0.6
cav3,cav2,2,0.6
cav3,cav2,3,0.6
cav3,cav2,4,0.6
cav3,cav2,5,0.6
cav3,cav2,6,0.6
cav3,cav2,7,0.6
cav3,cav2,8,0.6
cav3,cav4,0,0.817732749
cav3,cav4,1,0.6
cav3,cav4,2,0.6
cav3,cav4,3,0.6
cav3,cav4,4,0.6
cav3,cav4,5,0.6
cav3,cav4,6,0.6
cav3,cav4,7,0.6
cav3,cav4,8,0.6
cav4,cav1,0,0.786654316
cav4,cav1,1,0.6
cav4,cav1,2,0.6
cav4,cav1,3,0.711854453
cav4,cav1,4,0.6
cav4,cav1,5,0.6
cav4,cav1,6,0.6
cav4,cav1,7,0.6
cav4,cav1,8,0.6
cav4,cav2,0,0.6
cav4,cav2,1,0.6
cav4,cav2,2,0.719400227
cav4,cav2,3,0.6
cav4,cav2,4,0.88928808
cav4,cav2,5,0.6
cav4,cav2,6,0.6
cav4,cav2,7,0.6
cav4,cav2,8,0.6
cav4,cav3,0,0.6
cav4,cav3,1,0.715916473
cav4,cav3,2,0.6
cav4,cav3,3,0.6
cav4,cav3,4,0.6
cav4,cav3,5,0.6
cav4,cav3,6,0.6
cav4,cav3,7,0.6
cav4,cav3,8,0.6
