CAV,Other_CAV,Image_Index,Trust_Score
cav1,cav2,1,0.26788839603355336
cav1,cav2,2,0.5034097611020926
cav1,cav2,3,0.6
cav1,cav2,4,0.8296378089507925
cav1,cav2,5,0.6
cav1,cav2,6,0.6
cav1,cav2,7,0.6
cav1,cav2,8,0.6
cav1,cav2,9,0.5096816699271569
cav1,cav2,10,0.6
cav1,cav2,11,0.6
cav1,cav2,12,0.6
cav1,cav2,13,0.6
cav1,cav2,14,0.6
cav1,cav2,15,0.6
cav1,cav2,16,0.6
cav1,cav2,17,0.6
cav1,cav2,18,0.575216556978839
cav1,cav3,1,0.3787400013150718
cav1,cav3,2,0.5647616387387803
cav1,cav3,3,0.6869966602192974
cav1,cav3,4,0.6
cav1,cav3,5,0.6
cav1,cav3,6,0.5038841482676688
cav1,cav3,7,0.6
cav1,cav3,8,0.6
cav1,cav3,9,0.6
cav1,cav3,10,0.5578418994958113
cav1,cav3,11,0.6
cav1,cav3,12,0.6
cav1,cav3,13,0.6
cav1,cav3,14,0.9159771380420304
cav1,cav3,15,0.6
cav1,cav3,16,0.6
cav1,cav3,17,0.6
cav1,cav3,18,0.5330917284105201
cav1,cav4,1,0.12977186887543288
cav1,cav4,2,0.6
cav1,cav4,3,0.6
cav1,cav4,4,0.6
cav1,cav4,5,0.6
cav1,cav4,6,0.6
cav1,cav4,7,0.6
cav1,cav4,8,0.5411270198411774
cav1,cav4,9,0.6
cav1,cav4,10,0.6
cav1,cav4,11,0.6
cav1,cav4,12,0.6
cav1,cav4,13,0.6
cav1,cav4,14,0.6
cav1,cav4,15,0.6
cav1,cav4,16,0.6
cav1,cav4,17,0.6
cav1,cav4,18,0.7816196052024719
cav2,cav1,1,0.3466326350585172
cav2,cav1,2,0.7114980379465916
cav2,cav1,3,0.6
cav2,cav1,4,0.6
cav2,cav1,5,0.6502879777125349
cav2,cav1,6,0.6
cav2,cav1,7,0.6
cav2,cav1,8,0.6
cav2,cav1,9,0.6
cav2,cav1,10,0.6
cav2,cav1,11,0.6
cav2,cav1,12,0.6
cav2,cav1,13,0.6
cav2,cav1,14,0.6
cav2,cav1,15,0.6
cav2,cav1,16,0.5782420928812539
cav2,cav1,17,0.6
cav2,cav1,18,0.6
cav2,cav3,1,0.6
cav2,cav3,2,0.7581362137518439
cav2,cav3,3,0.6167680717051741
cav2,cav3,4,0.5353217173765105
cav2,cav3,5,0.6
cav2,cav3,6,0.6
cav2,cav3,7,0.6
cav2,cav3,8,0.6
cav2,cav3,9,0.6
cav2,cav3,10,0.6
cav2,cav3,11,0.6
cav2,cav3,12,0.6
cav2,cav3,13,0.6
cav2,cav3,14,0.6
cav2,cav3,15,0.546637709328332
cav2,cav3,16,0.6
cav2,cav3,17,0.6
cav2,cav3,18,0.5597614280667773
cav2,cav4,1,0.569949631983228
cav2,cav4,2,0.6
cav2,cav4,3,0.6
cav2,cav4,4,0.6
cav2,cav4,5,0.6
cav2,cav4,6,0.6
cav2,cav4,7,0.6006242722229557
cav2,cav4,8,0.6
cav2,cav4,9,0.6
cav2,cav4,10,0.6
cav2,cav4,11,0.5589532915878842
cav2,cav4,12,0.6
cav2,cav4,13,0.6604563702112619
cav2,cav4,14,0.6
cav2,cav4,15,0.6
cav2,cav4,16,0.6
cav2,cav4,17,0.6
cav2,cav4,18,0.6
cav3,cav1,1,0.3375718433843738
cav3,cav1,2,0.6
cav3,cav1,3,0.6
cav3,cav1,4,0.6003466803504702
cav3,cav1,5,0.630688850204582
cav3,cav1,6,0.6
cav3,cav1,7,0.6
cav3,cav1,8,0.6
cav3,cav1,9,0.6
cav3,cav1,10,0.6
cav3,cav1,11,0.6
cav3,cav1,12,0.6
cav3,cav1,13,0.6844814432046616
cav3,cav1,14,0.6
cav3,cav1,15,0.6154148280769403
cav3,cav1,16,0.6
cav3,cav1,17,0.6
cav3,cav1,18,0.5093866110893811
cav3,cav2,1,0.5039061075248
cav3,cav2,2,0.6
cav3,cav2,3,0.6
cav3,cav2,4,0.6
cav3,cav2,5,0.5002252030755999
cav3,cav2,6,0.6
cav3,cav2,7,0.6
cav3,cav2,8,0.7444587680691708
cav3,cav2,9,0.6
cav3,cav2,10,0.6
cav3,cav2,11,0.6850478077242945
cav3,cav2,12,0.6
cav3,cav2,13,0.6
cav3,cav2,14,0.6
cav3,cav2,15,0.5107424415568418
cav3,cav2,16,0.6
cav3,cav2,17,0.6
cav3,cav2,18,0.6
cav3,cav4,1,0.4243836368751987
cav3,cav4,2,0.6
cav3,cav4,3,0.6
cav3,cav4,4,0.6
